lat,lng,Structure_Number,system_use_code,city_id,geometry_x,geometry_y
36.82918057,-76.25187028,I17207,0,NORFOLK,-76.25187028,36.82918057
36.82921686,-76.27721906,F17963,0,NORFOLK,-76.27721906,36.82921686
36.82921696,-76.26843765,G17372,0,NORFOLK,-76.26843765,36.82921696
36.82922994,-76.19869197,N17240,0,NORFOLK,-76.19869197,36.82922994
36.82923453,-76.27576738,F17542,0,NORFOLK,-76.27576738,36.82923453
36.82927084,-76.19880108,N17241,0,NORFOLK,-76.19880108,36.82927084
36.82928521,-76.26840406,G17371,0,NORFOLK,-76.26840406,36.82928521
36.82928867,-76.27835175,F17971,0,NORFOLK,-76.27835175,36.82928867
36.82931602,-76.2811027,F17991,0,NORFOLK,-76.2811027,36.82931602
36.82933713,-76.26891036,G17374,0,NORFOLK,-76.26891036,36.82933713
36.82935641,-76.27841877,F17970,0,NORFOLK,-76.27841877,36.82935641
36.82938286,-76.28117092,F17990,0,NORFOLK,-76.28117092,36.82938286
36.82938517,-76.2521225,I17205,0,NORFOLK,-76.2521225,36.82938517
36.82942831,-76.26887478,G17373,0,NORFOLK,-76.26887478,36.82942831
36.82957179,-76.27790669,F17968,0,NORFOLK,-76.27790669,36.82957179
36.8296415,-76.27797569,F17553,0,NORFOLK,-76.27797569,36.8296415
36.82971483,-76.27769453,F17960,0,NORFOLK,-76.27769453,36.82971483
36.82977494,-76.27777652,F17958,0,NORFOLK,-76.27777652,36.82977494
36.82981444,-76.27461928,G17501,0,NORFOLK,-76.27461928,36.82981444
36.82988137,-76.2760197,F17541,0,NORFOLK,-76.2760197,36.82988137
36.82993273,-76.2758438,F17535,0,NORFOLK,-76.2758438,36.82993273
36.8299364,-76.27452716,G17500,0,NORFOLK,-76.27452716,36.8299364
36.8299424,-76.27609005,F17536,0,NORFOLK,-76.27609005,36.8299424
36.82996708,-76.19649941,N17246,0,NORFOLK,-76.19649941,36.82996708
36.8300167,-76.27459694,G17499,0,NORFOLK,-76.27459694,36.8300167
36.83002955,-76.27577634,F17534,0,NORFOLK,-76.27577634,36.83002955
36.83004928,-76.19649788,N17247,0,NORFOLK,-76.19649788,36.83004928
36.83008373,-76.27586854,F17533,0,NORFOLK,-76.27586854,36.83008373
36.83020075,-76.19516995,N17243,0,NORFOLK,-76.19516995,36.83020075
36.83027824,-76.27400864,G17498,0,NORFOLK,-76.27400864,36.83027824
36.83028147,-76.26228304,H17338,0,NORFOLK,-76.26228304,36.83028147
36.83030793,-76.26237334,H17337,0,NORFOLK,-76.26237334,36.83030793
36.83036681,-76.27668346,F17547,0,NORFOLK,-76.27668346,36.83036681
36.830367,-76.27407605,G17497,0,NORFOLK,-76.27407605,36.830367
36.83043615,-76.27675999,F17546,0,NORFOLK,-76.27675999,36.83043615
36.83047779,-76.27397683,G17496,0,NORFOLK,-76.27397683,36.83047779
36.83048588,-76.25319355,I175,0,NORFOLK,-76.25319355,36.83048588
36.83056349,-76.2820096,F17975,0,NORFOLK,-76.2820096,36.83056349
36.8306142,-76.26791673,G17364,0,NORFOLK,-76.26791673,36.8306142
36.83063687,-76.26800612,G17365,0,NORFOLK,-76.26800612,36.83063687
36.83076431,-76.25302176,I174,0,NORFOLK,-76.25302176,36.83076431
36.83077182,-76.26785101,G17363,0,NORFOLK,-76.26785101,36.83077182
36.83080152,-76.26262807,H17316,0,NORFOLK,-76.26262807,36.83080152
36.83081629,-76.25269547,I178,0,NORFOLK,-76.25269547,36.83081629
36.83082032,-76.26046097,H17355,0,NORFOLK,-76.26046097,36.83082032
36.83082726,-76.26254379,H17318,0,NORFOLK,-76.26254379,36.83082726
36.83083391,-76.27449324,G17495,0,NORFOLK,-76.27449324,36.83083391
36.83084681,-76.26035974,H17354,0,NORFOLK,-76.26035974,36.83084681
36.83085861,-76.25323858,I173,0,NORFOLK,-76.25323858,36.83085861
36.83087767,-76.26797886,G17366,0,NORFOLK,-76.26797886,36.83087767
36.8309025,-76.27439869,G17494,0,NORFOLK,-76.27439869,36.8309025
36.83090602,-76.28147076,F17607,0,NORFOLK,-76.28147076,36.83090602
36.83100812,-76.28131918,F17605,0,NORFOLK,-76.28131918,36.83100812
36.83101233,-76.26541345,G17634,0,NORFOLK,-76.26541345,36.83101233
36.83104865,-76.26549011,G17633,0,NORFOLK,-76.26549011,36.83104865
36.83106779,-76.19810035,N17250,0,NORFOLK,-76.19810035,36.83106779
36.83108801,-76.28140116,F17604,0,NORFOLK,-76.28140116,36.83108801
36.83111727,-76.25278902,I176,0,NORFOLK,-76.25278902,36.83111727
36.83113962,-76.26323581,H17312,0,NORFOLK,-76.26323581,36.83113962
36.83115743,-76.19795161,N17251,0,NORFOLK,-76.19795161,36.83115743
36.83116894,-76.26334267,H17311,0,NORFOLK,-76.26334267,36.83116894
36.83120573,-76.25302504,I172,0,NORFOLK,-76.25302504,36.83120573
36.83122343,-76.25301434,I1712,0,NORFOLK,-76.25301434,36.83122343
36.83123195,-76.19801716,N17252,0,NORFOLK,-76.19801716,36.83123195
36.83128685,-76.2593713,H17359,0,NORFOLK,-76.2593713,36.83128685
36.83134115,-76.25928286,H17360,0,NORFOLK,-76.25928286,36.83134115
36.83135211,-76.19762134,N17253,0,NORFOLK,-76.19762134,36.83135211
36.83145063,-76.28082547,F17596,0,NORFOLK,-76.28082547,36.83145063
36.83162407,-76.25247912,I1721,0,NORFOLK,-76.25247912,36.83162407
36.83163893,-76.25849106,H17373,0,NORFOLK,-76.25849106,36.83163893
36.83169882,-76.26745463,G17622,0,NORFOLK,-76.26745463,36.83169882
36.83171602,-76.25270153,I1719,0,NORFOLK,-76.25270153,36.83171602
36.83173785,-76.20242626,N17186,0,NORFOLK,-76.20242626,36.83173785
36.83174141,-76.26754591,G17623,0,NORFOLK,-76.26754591,36.83174141
36.83182327,-76.20239928,N17187,0,NORFOLK,-76.20239928,36.83182327
